species,n_reg,cx,cy,elongacion,max_dist_m,clase_id,clase_lbl,radio_km,radio_m,flag_elongada
Acraea tenebrarum,5,702268.1515832664,9545060.704379357,5.939572077318485,46671.94011059778,4,<= 100 km,100,100000,TRUE
Adenostemma fosbergii,5,759303.1532533558,9536274.018193403,4.030360489480501,92158.01542938182,4,<= 100 km,100,100000,TRUE
Adenostemma lavenia,5,762301.0602483731,9557299.388561487,5.738165568997098,41585.34623718567,4,<= 100 km,100,100000,TRUE
Aegiphila cordata,5,785216.4612325598,9589177.961614719,52.20334923897959,21916.91220693195,4,<= 100 km,100,100000,TRUE
Alsophila engelii,5,708358.4484490635,9516467.537416615,9.971421586689727,44711.32568578784,4,<= 100 km,100,100000,TRUE
Anadenanthera colubrina,5,698183.5448834789,9533928.46339805,5.8464288187681355,2865.4318494595327,4,<= 100 km,100,100000,TRUE
Anthurium andraeanum,5,705794.1364171683,9518913.204290302,16.065662981785085,38793.86853852234,4,<= 100 km,100,100000,TRUE
Baskervilla assurgens,5,763963.0797239565,9545109.495789025,19.78593694924265,36054.84051580897,4,<= 100 km,100,100000,TRUE
Baskervilla auriculata,5,728093.7622880117,9521069.645974789,23.18562469444225,67116.00645254331,4,<= 100 km,100,100000,TRUE
Bidens alba,5,700571.3448200109,9553463.23575224,4.030810720293664,12211.015193926964,4,<= 100 km,100,100000,TRUE
Boana appendiculata,5,761670.7444644264,9536142.273355985,4.8439151359604615,75452.92254684615,4,<= 100 km,100,100000,TRUE
Bothriochloa campii,5,696317.8562668652,9567628.854676733,11.680351218373566,3309.943504030735,4,<= 100 km,100,100000,TRUE
Brachyotum confertum,5,707243.7878427741,9563956.959592555,4.493360034469807,100339.14442924203,4,<= 100 km,100,100000,TRUE
Breutelia tomentosa,5,709141.3186901204,9535226.69566668,7.186812773939688,46140.257496657425,4,<= 100 km,100,100000,TRUE
Cantua pyrifolia,5,703579.9724451344,9518436.124751221,4.34602548378233,27987.254134790186,4,<= 100 km,100,100000,TRUE
Catasticta susiana,5,707289.9241815256,9534980.219609361,5.292408322598754,38104.69935177958,4,<= 100 km,100,100000,TRUE
Choeradodis columbica,5,709262.7859733977,9520641.431179294,8.089765864326951,40358.11339804665,4,<= 100 km,100,100000,TRUE
Cinchona lucumifolia,5,704659.1824868518,9559501.108105477,9.756795516106914,11129.288077438441,4,<= 100 km,100,100000,TRUE
Clusia androphora,5,786329.7515118289,9607193.825583838,7.602868324538341,4832.530909066735,4,<= 100 km,100,100000,TRUE
Columnea katzensteiniae,5,711376.3545300275,9543236.865150522,5.607395051474967,73031.48631376495,4,<= 100 km,100,100000,TRUE
Coriandrum sativum,5,698057.4703740905,9563412.81203357,6.058435717653541,14643.543815259192,4,<= 100 km,100,100000,TRUE
Costus asplundii,5,766462.1921234196,9572687.048207296,6.646961480183224,43381.61985417238,4,<= 100 km,100,100000,TRUE
Coussarea longiflora,5,760715.0034089771,9512621.819554666,5.452792383695287,13872.085262605919,4,<= 100 km,100,100000,TRUE
Cyathea carolihenrici,5,709500.8396850269,9539641.15953945,9.401043881930363,31860.122439006613,4,<= 100 km,100,100000,TRUE
Cyathea mucilagina,5,761410.5686053432,9531691.838749804,4.902394371062092,14952.269311750517,4,<= 100 km,100,100000,TRUE
Cybistax antisyphilitica,5,711080.2694812102,9473771.765305072,6.169980769612073,85189.80882338295,4,<= 100 km,100,100000,TRUE
Cymatoderma caperatum,5,701828.4029670024,9547905.957562944,9.141925551069047,21394.841674606752,4,<= 100 km,100,100000,TRUE
Cynoglossum amabile,5,713788.9529192693,9520640.258491827,4.133307975660717,74447.80556364311,4,<= 100 km,100,100000,TRUE
Cyperus tabina,5,706461.5374720704,9538469.40015345,28.700019137659194,34302.084596833236,4,<= 100 km,100,100000,TRUE
Diaethria neglecta,5,713960.4339618287,9530202.315778853,5.252178769189056,43477.59747911641,4,<= 100 km,100,100000,TRUE
Dioclea virgata,5,702959.3338703439,9450543.70712686,21.438465369931755,18168.209296867644,4,<= 100 km,100,100000,TRUE
Diplazium andinum,5,781901.5010572926,9582167.038030881,7.180601313284936,84308.43267598462,4,<= 100 km,100,100000,TRUE
Elaphoglossum huacsaro,5,706763.513032379,9524925.942871174,43.813842052984064,33091.76097084199,4,<= 100 km,100,100000,TRUE
Elaphoglossum raywaense,5,761154.3640820106,9535881.268785637,10.099970268282867,53884.970710793066,4,<= 100 km,100,100000,TRUE
Elaphoglossum trivittatum,5,708921.3293613197,9514315.05487899,8.044493156862467,44537.19999915146,4,<= 100 km,100,100000,TRUE
Elaphoglossum vulcanicum,5,707470.3214490877,9515045.062465962,10.456671377044074,44616.46405145639,4,<= 100 km,100,100000,TRUE
Epidendrum alpicola,5,706485.6604972023,9539368.710078567,8.897845082058879,28317.395285936393,4,<= 100 km,100,100000,TRUE
Epidendrum fritzianum,5,709485.9088165304,9524580.16999923,8.728431439093074,70682.16445884353,4,<= 100 km,100,100000,TRUE
