species,n_reg,cx,cy,elongacion,max_dist_m,clase_id,clase_lbl,radio_km,radio_m,flag_elongada
Abarema killipii,10,750136.6467071818,9572618.232077563,1.3918594897940477,46371.06335145158,4,<= 100 km,100,100000,FALSE
Abatia parviflora,21,711550.3096095815,9533653.020497372,1.0940258003486316,70224.58247018672,4,<= 100 km,100,100000,FALSE
Abracris flavolineata,20,754802.7659096121,9556790.93252706,2.3842171488894017,98063.91201652968,4,<= 100 km,100,100000,FALSE
Abrodictyum cellulosum,10,756931.9564558283,9533151.73740623,1.1729398454187947,77580.4616502831,4,<= 100 km,100,100000,FALSE
Abrodictyum rigidum,9,760779.2796820872,9563766.846605198,1.3147592487263569,81096.27963843428,4,<= 100 km,100,100000,FALSE
Aburria aburri,29,742670.54716227,9545720.050308941,1.7009029042771537,81828.92039428712,4,<= 100 km,100,100000,FALSE
Acacia melanoxylon,8,699216.3864705955,9555391.589109635,1.5110131233446875,2726.3567689500237,4,<= 100 km,100,100000,FALSE
Acalypha cuneata,6,753276.9289899458,9540588.717893116,1.2752909445066236,41714.266168058646,4,<= 100 km,100,100000,FALSE
Acalypha diversifolia,13,729180.8600911945,9538101.82503255,1.1167855295997235,60782.80542101357,4,<= 100 km,100,100000,FALSE
Acalypha macrostachya,26,754425.7173711729,9563429.723063715,1.598196728453448,89919.78015811411,4,<= 100 km,100,100000,FALSE
Accipiter collaris,18,724532.1484815943,9540882.407122364,1.4504335799623413,70916.58070312136,4,<= 100 km,100,100000,FALSE
Accipiter striatus,44,718190.3307208682,9524847.807456005,1.2754560033625926,78970.13027582683,4,<= 100 km,100,100000,FALSE
Accipiter superciliosus,19,757247.2056234772,9551735.114827683,1.91140017326854,54378.55184086763,4,<= 100 km,100,100000,FALSE
Aciotis purpurascens,8,752905.6848622389,9536798.045603635,1.0560606486711943,33661.52880901444,4,<= 100 km,100,100000,FALSE
Aciotis rubricaulis,21,755645.6707213096,9563922.464986589,1.2955706013403208,82830.05077353033,4,<= 100 km,100,100000,FALSE
Acraea dicaeus,7,719981.4587563501,9525601.90650011,2.085362208825509,38129.8916853045,4,<= 100 km,100,100000,FALSE
Acraea tenebrarum,5,702268.1515832664,9545060.704379357,5.939572077318485,46671.94011059778,4,<= 100 km,100,100000,TRUE
Acroceras zizanioides,10,743326.890337827,9556807.42460425,1.8804601009881663,43999.1910157713,4,<= 100 km,100,100000,FALSE
Acrocinus longimanus,5,736495.3148470679,9547154.685994124,1.7825404167071206,63960.49178339928,4,<= 100 km,100,100000,FALSE
Acroporium pungens,11,777078.1702892433,9587012.515589217,2.5576117260704225,47717.859958455985,4,<= 100 km,100,100000,FALSE
Acropternis orthonyx,28,713346.7092845945,9519727.711150609,1.3358761063633555,80939.83599424211,4,<= 100 km,100,100000,FALSE
Acrotomodes NA,9,712313.1967068892,9557678.608689185,1.3347128725957345,15952.062340326982,4,<= 100 km,100,100000,FALSE
Actinote alcione,7,739771.7968323206,9557919.108308125,1.6859858532989103,49697.79989139483,4,<= 100 km,100,100000,FALSE
Actinote negra,21,715377.2671715945,9547566.179580865,1.306442180369538,53974.864769942404,4,<= 100 km,100,100000,FALSE
Actinote neleus,10,718983.2691728338,9531337.230969155,2.2762728787314885,45328.3421293843,4,<= 100 km,100,100000,FALSE
Actitis macularius,171,730573.5962661101,9545609.710745916,2.0294220556083102,98632.24804635698,4,<= 100 km,100,100000,FALSE
Adelobotrys adscendens,17,761457.4698132701,9566870.575595496,1.3235434094758864,82022.54034312716,4,<= 100 km,100,100000,FALSE
Adelobotrys tessmannii,13,767080.510840497,9549827.665562306,3.3165671127596204,61274.356238056076,4,<= 100 km,100,100000,FALSE
Adelomyia melanogenys,253,720844.1314741357,9529021.092847561,1.5826080041941404,96699.33830800992,4,<= 100 km,100,100000,FALSE
Adelonema picturatum,21,755684.8013294416,9559177.315204877,1.9080600264774592,62290.16725301429,4,<= 100 km,100,100000,FALSE
Adenaria floribunda,17,725912.1930427705,9515589.119821554,1.9478713558990648,68686.0599364659,4,<= 100 km,100,100000,FALSE
Adenomera andreae,35,760304.6513032455,9570886.952786641,1.363931748973631,46559.89354907787,4,<= 100 km,100,100000,FALSE
