Nombre,Grupo,celdas_alta_cobertura,area_alta_cobertura_ha,area_total_acus_ha,porcentaje_acus
Bracamoros,Anfibios,3,97.16,125191.22,0.078
Bracamoros,Aves,75,4362.26,125191.22,3.484
Bracamoros,Mamíferos,1,5.45,125191.22,0.004
Bracamoros,Plantas,0,0,125191.22,0
Bracamoros,Reptiles,0,0,125191.22,0
Cordillera del Condor,Anfibios,43,2404.14,138297.35,1.738
Cordillera del Condor,Aves,96,5423.44,138297.35,3.922
Cordillera del Condor,Mamíferos,3,196.63,138297.35,0.142
Cordillera del Condor,Plantas,0,0,138297.35,0
Cordillera del Condor,Reptiles,0,0,138297.35,0
Fuentes de agua,Anfibios,3,78.47,43957.54,0.179
Fuentes de agua,Aves,57,1765.39,43957.54,4.016
Fuentes de agua,Mamíferos,0,0,43957.54,0
Fuentes de agua,Plantas,0,0,43957.54,0
Fuentes de agua,Reptiles,0,0,43957.54,0
Yawi Sumak,Anfibios,9,410.04,137146.79,0.299
Yawi Sumak,Aves,90,4673.82,137146.79,3.408
Yawi Sumak,Mamíferos,3,141.86,137146.79,0.103
Yawi Sumak,Plantas,0,0,137146.79,0
Yawi Sumak,Reptiles,2,18.81,137146.79,0.014
